On offshore,Province name,Municipality name,longitude,latitude,Type,Status,Result,Current owner,Operator,oil or gas?,Year,within_zone,within_1km,outside,only_1km
ON,Zuid-Holland,Alblasserdam,4.6746660319666935,51.87114327550949,Exploration hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1957,False,True,False,True
ON,Drenthe,Aa en Hunze,6.691715421841973,53.03210953426515,Exploration hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1964,False,True,False,True
ON,Drenthe,Tynaarlo,6.717303987656824,53.07342717589203,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1970,True,True,False,False
ON,Noord-Holland,Bergen,4.66617582322216,52.65889258835129,Exploration hydrocarbon,Plugged and abandoned,Gas,Amoco Netherlands Petroleum Company,Amoco Netherlands Petroleum Company,Y,1965,True,True,False,False
ON,Noord-Holland,Bergen,4.632778574224638,52.66628866738502,Appraisal hydrocarbon,Closed-In,Gas,TAQA Offshore B.V.,Amoco Netherlands Petroleum Company,Y,1976,True,True,False,False
ON,Gelderland,Winterswijk,6.657280596323244,51.975296175184454,Exploration,Plugged and abandoned,Oil shows,Rijksoverheid,ROVD,Y,1921,False,True,False,True
ON,Drenthe,Coevorden,6.71442243135996,52.70647957425896,Appraisal hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1978,False,True,False,True
ON,Drenthe,Coevorden,6.713953899459039,52.70647320922068,Appraisal hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1979,False,True,False,True
ON,Drenthe,Coevorden,6.713589245026727,52.70629544968201,Appraisal hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1986,False,True,False,True
ON,Drenthe,Aa en Hunze,6.5765843246842035,52.95706574159961,Development hydrocarbon,Closed-In,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1974,True,True,False,False
ON,Drenthe,Emmen,6.8424572348687605,52.78166070059804,Exploration hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1969,False,True,False,True
ON,Drenthe,Emmen,6.8644715137380405,52.777400238282006,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1976,True,True,False,False
ON,Drenthe,Emmen,6.8644715137380405,52.777400238282006,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1995,True,True,False,False
ON,Drenthe,Emmen,6.8644715137380405,52.777400238282006,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,2003,True,True,False,False
ON,Drenthe,Emmen,6.864551353217503,52.77713527046707,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1976,True,True,False,False
ON,Drenthe,Emmen,6.864551353217503,52.77713527046707,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1994,True,True,False,False
ON,Drenthe,Emmen,6.864551353217503,52.77713527046707,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1995,True,True,False,False
ON,Drenthe,Emmen,6.860358779296899,52.795546117559596,Appraisal hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1978,True,True,False,False
ON,Drenthe,Emmen,6.851055038507146,52.765178281956715,Appraisal hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1979,False,True,False,True
ON,Drenthe,Emmen,6.860254453951889,52.795283517922385,Appraisal hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1979,True,True,False,False
ON,Drenthe,Emmen,6.860254453951889,52.795283517922385,Development hydrocarbon,Suspended,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y,1990,True,True,False,False
