On offshore,Province name,Municipality name,longitude,latitude,Start,Type,Status,Result,Current owner,Operator,oil or gas?
ON,Gelderland,Lingewaard,5.91054301,51.92946406,03-01-1944,Exploration hydrocarbon,Plugged and abandoned,Oil,Nederlandse Aardolie Maatschappij B.V.,Erdöl Niederlande,Y
ON,Friesland,Smallingerland,5.98547132,53.12306506,11-05-1965,Exploration hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,American Overseas Petroleum Limited,Y
ON,Friesland,Boarnsterhim,5.82356723,53.07659822,09-08-1965,Appraisal hydrocarbon,Plugged and abandoned,Gas and oil shows,Chevron International Oil Company B.V.,American Overseas Petroleum Limited,Y
ON,Friesland,Smallingerland,6.02399117,53.09540277,29-08-1965,Exploration,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,American Overseas Petroleum Limited,Y
ON,Friesland,Smallingerland,5.91244849,53.08282967,06-12-1965,Appraisal hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,American Overseas Petroleum Limited,Y
ON,Friesland,Opsterland,6.11604687,53.05739206,18-12-1968,Exploration hydrocarbon,Plugged and abandoned,Gas and oil shows,Chevron International Oil Company B.V.,Chevron Oil Company of the Netherlands,Y
ON,Friesland,Smallingerland,6.00679729,53.12016842,19-05-1976,Development hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,Chevron Oil Company of the Netherlands,Y
ON,Friesland,Smallingerland,6.03126264,53.11572705,28-07-1977,Development hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,Chevron International Oil Company B.V.,Y
ON,Friesland,Smallingerland,5.98565964,53.12421996,09-06-1977,Development hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,Chevron Oil Company of the Netherlands,Y
ON,Friesland,Smallingerland,5.99180942,53.09138069,20-11-1979,Exploration hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,Chevron Oil Company of the Netherlands,Y
ON,Friesland,Smallingerland,6.03113355,53.11589497,24-05-1978,Development hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,Chevron International Oil Company B.V.,Y
ON,Friesland,Opsterland,6.16610061,53.0233659,10-08-1978,Exploration hydrocarbon,Plugged and abandoned,Gas,Chevron Oil Company of the Netherlands,Chevron Oil Company of the Netherlands,Y
ON,Friesland,Smallingerland,6.02420067,53.09506118,26-10-1978,Development hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,Chevron Oil Company of the Netherlands,Y
ON,Friesland,Opsterland,5.93792433,53.06722596,12-01-1980,Exploration hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,Chevron Oil Company of the Netherlands,Y
ON,Friesland,Smallingerland,5.99323824,53.1188907,20-06-1981,Development hydrocarbon,Plugged and abandoned,Gas,Vermilion Energy Netherlands B.V.,Chevron Oil Company of the Netherlands B.V.,Y
ON,Friesland,Smallingerland,5.99340111,53.11922666,13-09-1981,Development hydrocarbon,Plugged and abandoned,Gas,Chevron International Oil Company B.V.,Chevron Oil Company of the Netherlands,Y
ON,Friesland,Boarnsterhim,5.82802314,53.0970589,07-05-1991,Appraisal hydrocarbon,Plugged and abandoned,Gas shows,Chevron Nederland B.V.,Chevron Nederland B.V.,Y
ON,Zuid-Holland,Alblasserdam,4.6759608,51.8719401,17-07-1957,Exploration hydrocarbon,Plugged and abandoned,Oil and gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Noord-Holland,Alkmaar,4.74500128,52.60381371,10-04-1975,Exploration hydrocarbon,Closed-In,Gas,TAQA Piek Gas B.V.,Amoco Netherlands Petroleum Company,Y
ON,Groningen,Leek,6.31298899,53.10011168,22-08-1984,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Nederlandse Aardolie Maatschappij B.V.,Y
ON,Friesland,Ameland,5.96015984,53.46680909,24-04-1964,Exploration hydrocarbon,Plugged and abandoned,Gas,Nederlandse Aardolie Maatschappij B.V.,Mobil Producing Netherlands Inc.,Y
